300216 千山药机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.87	7.04	6.42	6.42	156999	5646651.500
01/06/2012	6.22	6.22	5.76	5.83	978343	30914944.000
01/09/2012	5.81	6.17	5.64	5.84	1236142	38721424.000
01/10/2012	5.80	5.99	5.76	5.95	692738	22045642.000
01/11/2012	5.98	6.14	5.90	6.03	425716	13905404.000
01/12/2012	6.00	6.08	5.83	5.85	334441	10708429.000
01/13/2012	5.83	5.83	5.24	5.24	1207586	35179160.000
01/16/2012	5.00	5.13	4.77	4.77	410227	11010679.000
01/17/2012	4.75	5.00	4.64	4.93	406611	10694660.000
01/18/2012	4.93	4.97	4.42	4.42	890900	22403220.000
01/19/2012	4.34	4.56	4.33	4.49	721103	17605492.000
01/20/2012	4.49	4.58	4.42	4.55	736571	18111306.000
01/30/2012	4.56	4.80	4.46	4.71	506475	12899825.000
01/31/2012	4.71	4.80	4.62	4.75	427564	10937681.000
02/01/2012	4.71	4.88	4.71	4.81	448971	11799451.000
02/02/2012	4.82	4.88	4.75	4.86	275778	7223110.000
02/03/2012	4.86	4.94	4.83	4.94	508162	13533301.000
02/06/2012	4.95	5.03	4.88	4.96	490633	13213899.000
02/07/2012	4.91	5.01	4.85	4.89	438018	11665971.000
02/08/2012	4.83	4.96	4.83	4.95	397201	10603865.000
02/09/2012	4.95	5.08	4.92	5.02	403936	10990878.000
02/10/2012	5.02	5.03	4.93	4.96	507968	13736143.000
02/13/2012	4.94	5.23	4.88	5.23	893203	24845928.000
02/14/2012	5.20	5.39	5.16	5.34	529323	15207465.000
02/15/2012	5.31	5.36	5.26	5.34	478866	13820400.000
02/16/2012	5.30	5.38	5.25	5.32	342780	9888736.000
02/17/2012	5.35	5.42	5.22	5.29	316308	9075408.000
02/20/2012	5.40	5.40	5.28	5.31	369951	10677152.000
02/21/2012	5.31	5.31	5.17	5.28	980778	27820370.000
02/22/2012	5.28	5.52	5.28	5.51	1087296	31871810.000
02/23/2012	5.57	5.67	5.41	5.47	1213151	36141816.000
02/24/2012	5.50	5.64	5.47	5.60	1075613	32470698.000
02/27/2012	5.54	5.60	5.49	5.50	1443792	43248604.000
02/28/2012	5.74	5.77	5.54	5.57	4215978	129279272.000
02/29/2012	5.54	5.54	5.17	5.19	2600409	74382160.000
03/01/2012	5.16	5.26	5.13	5.23	1006390	28487160.000
03/02/2012	5.24	5.35	5.22	5.33	1100650	31504136.000
03/05/2012	5.35	5.37	5.28	5.30	1044016	30073428.000
03/06/2012	5.30	5.34	5.20	5.24	682152	19418220.000
03/07/2012	5.23	5.31	5.16	5.26	772243	22022024.000
03/08/2012	5.28	5.39	5.28	5.39	947650	27404350.000
03/09/2012	5.46	5.64	5.41	5.50	2569572	76737840.000
03/12/2012	5.55	5.55	5.46	5.52	1396516	41604564.000
03/13/2012	5.52	5.54	5.47	5.51	1272327	37824552.000
03/14/2012	5.52	5.68	5.22	5.33	2247428	67406328.000
03/15/2012	5.29	5.40	5.10	5.22	954212	27062564.000
03/16/2012	5.20	5.41	5.20	5.35	1050899	30421046.000
03/19/2012	5.31	5.52	5.30	5.48	1194206	35301220.000
03/20/2012	5.47	5.47	5.23	5.25	808761	23312802.000
03/21/2012	5.29	5.32	5.02	5.14	754150	21210880.000
03/22/2012	5.14	5.22	5.10	5.14	567413	15934283.000
03/23/2012	5.14	5.14	5.00	5.01	450054	12382289.000
03/26/2012	5.01	5.04	4.90	4.92	407858	10987439.000
03/27/2012	4.93	5.04	4.93	5.00	404007	10964911.000
03/28/2012	5.01	5.01	4.64	4.64	613880	15959400.000
03/29/2012	4.60	4.66	4.57	4.60	385848	9698204.000
04/05/2012	4.60	4.73	4.60	4.72	396757	10137646.000
04/06/2012	4.72	4.74	4.67	4.72	297921	7636292.500
04/09/2012	4.72	4.75	4.67	4.67	245200	6291770.000
04/10/2012	4.62	4.66	4.34	4.54	640494	15637247.000
04/11/2012	4.50	4.58	4.40	4.56	279569	6878619.500
04/12/2012	4.56	4.65	4.55	4.65	434875	10935734.000
04/13/2012	4.67	4.69	4.62	4.68	430174	10926633.000
04/16/2012	4.67	4.67	4.57	4.58	617191	15497273.000
04/17/2012	4.60	4.60	4.53	4.53	292265	7266998.000
04/18/2012	4.55	4.65	4.53	4.64	796534	19916206.000
04/19/2012	4.65	4.65	4.58	4.65	622011	15649988.000
04/20/2012	4.64	4.76	4.62	4.74	872885	22374986.000
04/23/2012	4.74	4.75	4.39	4.41	1048581	25850468.000
04/24/2012	4.36	4.42	4.16	4.27	662248	15523360.000
04/25/2012	4.24	4.24	4.16	4.21	551451	12669066.000
04/26/2012	4.23	4.23	4.14	4.15	480750	11002777.000
04/27/2012	4.14	4.24	4.12	4.24	456010	10498484.000
05/02/2012	4.29	4.31	4.20	4.27	509578	11852423.000
05/03/2012	4.26	4.27	4.22	4.27	336767	7823676.500
05/04/2012	4.27	4.49	4.27	4.44	739097	17674614.000
05/07/2012	4.44	4.66	4.37	4.60	950619	23575558.000
05/08/2012	4.62	4.73	4.61	4.65	1177815	30013582.000
05/09/2012	4.62	4.62	4.50	4.50	724452	17870012.000
05/10/2012	4.49	4.67	4.49	4.55	482639	12082720.000
05/11/2012	4.60	4.78	4.50	4.74	1025430	26148568.000
05/14/2012	4.77	5.02	4.77	4.85	1616080	43354832.000
05/15/2012	4.84	4.84	4.68	4.78	657261	17015264.000
05/16/2012	4.74	4.99	4.72	4.77	747178	19666998.000
05/17/2012	4.75	4.86	4.56	4.59	966666	24442026.000
05/18/2012	4.52	4.59	4.39	4.43	1289137	15455715.000
05/21/2012	4.27	4.52	4.24	4.28	902425	10469274.000
05/22/2012	4.29	4.43	4.29	4.36	463650	5455676.500
05/23/2012	4.35	4.37	4.18	4.27	641925	7412107.000
05/24/2012	4.27	4.30	4.21	4.24	311550	3584993.500
05/25/2012	4.22	4.27	4.17	4.19	277034	3162450.000
05/28/2012	4.09	4.25	3.99	4.20	680960	7529576.500
05/29/2012	4.15	4.32	4.15	4.29	707675	8159462.500
05/30/2012	4.27	4.33	4.25	4.29	469819	5448269.500
05/31/2012	4.27	4.35	4.22	4.28	1406347	16363576.000
06/01/2012	4.28	4.34	4.21	4.24	669283	7736607.500
06/04/2012	4.18	4.18	4.04	4.05	712620	7870590.000
06/05/2012	4.09	4.10	4.00	4.02	615607	6723364.000
06/06/2012	4.04	4.05	3.86	3.99	1333674	14211580.000
06/07/2012	3.98	4.00	3.90	3.91	691623	7405928.000
06/08/2012	3.95	3.97	3.85	3.85	549226	5796229.500
06/11/2012	3.87	3.96	3.83	3.94	710781	7521770.500
06/12/2012	3.93	4.05	3.89	3.96	1369540	14754726.000
06/13/2012	3.96	4.10	3.96	4.10	1557994	16986292.000
06/14/2012	4.06	4.13	3.99	4.00	1232155	13550161.000
06/15/2012	3.99	4.28	3.99	4.09	2501470	27997412.000
06/18/2012	4.10	4.40	4.07	4.29	3068384	35317540.000
06/19/2012	4.32	4.74	4.25	4.74	9253188	116194472.000
06/20/2012	4.77	5.18	4.68	4.71	17003393	223905248.000
06/21/2012	4.55	4.57	4.39	4.40	7597885	91723736.000
06/25/2012	4.30	4.66	4.26	4.51	6490721	78117368.000
06/26/2012	4.39	4.55	4.23	4.40	3765401	44345844.000
06/27/2012	4.41	4.56	4.29	4.46	4074866	48751612.000
06/28/2012	4.37	4.47	4.25	4.27	4698190	55202564.000
06/29/2012	4.21	4.21	3.88	4.14	3151068	34986744.000
07/02/2012	4.16	4.38	4.10	4.29	3052844	35225576.000
07/03/2012	4.25	4.39	4.24	4.29	2356621	27341044.000
07/04/2012	4.29	4.37	4.24	4.27	2068200	23970978.000
07/05/2012	4.31	4.63	4.29	4.45	5667628	67526208.000
07/06/2012	4.47	4.47	4.22	4.42	4018848	47194084.000
07/09/2012	4.44	4.55	4.35	4.44	3798500	45721884.000
07/10/2012	4.42	4.42	4.07	4.11	2983568	33948692.000
07/11/2012	4.08	4.19	4.04	4.15	1253363	14028194.000
07/12/2012	4.14	4.20	3.99	4.17	2074093	23038610.000
07/13/2012	4.10	4.22	4.06	4.06	1412123	15793137.000
07/16/2012	4.06	4.09	3.64	3.68	3646491	37721444.000
07/17/2012	3.62	3.69	3.55	3.62	1259969	12366383.000
07/18/2012	3.62	3.63	3.51	3.61	1140268	11074162.000
07/19/2012	3.60	3.81	3.57	3.72	1806064	18136406.000
07/20/2012	3.68	3.81	3.67	3.75	1559308	15891442.000
07/23/2012	3.67	3.80	3.64	3.74	1047840	10618973.000
07/24/2012	3.73	3.83	3.73	3.79	1178069	12085978.000
07/25/2012	3.79	3.87	3.73	3.79	771467	7971761.000
07/26/2012	3.76	3.79	3.68	3.68	843257	8586220.000
07/27/2012	3.71	3.79	3.68	3.72	673828	6818277.500
07/30/2012	3.70	3.75	3.47	3.51	869499	8482095.000
07/31/2012	3.52	3.56	3.34	3.44	1021539	9493135.000
08/01/2012	3.38	3.51	3.37	3.47	1257031	11814949.000
08/02/2012	3.45	3.48	3.33	3.36	859669	7978354.500
08/03/2012	3.36	3.48	3.36	3.47	1098916	10271100.000
08/06/2012	3.44	3.62	3.44	3.60	1237708	11969212.000
08/07/2012	3.58	3.65	3.57	3.62	940376	9256384.000
08/08/2012	3.62	3.65	3.57	3.64	1225087	12070886.000
08/09/2012	3.60	3.74	3.59	3.71	1347208	13471033.000
08/10/2012	3.71	3.72	3.65	3.67	738395	7387379.500
08/13/2012	3.66	3.67	3.55	3.55	706292	6941795.500
08/14/2012	3.55	3.59	3.44	3.57	1120668	10694673.000
08/15/2012	3.55	3.57	3.49	3.50	599380	5740383.000
08/16/2012	3.49	3.54	3.48	3.50	574268	5491814.500
08/17/2012	3.52	3.57	3.49	3.54	716638	6881294.500
08/20/2012	3.49	3.78	3.49	3.76	2622928	26144698.000
08/21/2012	3.77	3.83	3.73	3.81	2172614	22292132.000
08/22/2012	3.83	3.87	3.73	3.84	2118115	21916616.000
08/23/2012	3.80	4.24	3.80	4.24	6725221	76113744.000
08/24/2012	4.27	4.55	4.19	4.20	9503441	111875208.000
08/27/2012	4.07	4.29	3.83	4.16	4848632	53229592.000
08/28/2012	4.07	4.39	4.06	4.36	4466650	51278752.000
08/29/2012	4.37	4.64	4.27	4.41	6827457	82487464.000
08/30/2012	4.36	4.51	4.13	4.25	4309343	50235184.000
08/31/2012	4.18	4.39	4.14	4.29	3196725	37051756.000
09/03/2012	4.27	4.42	4.22	4.42	3053902	36017080.000
09/04/2012	4.43	4.47	4.24	4.25	3102355	36429112.000
09/05/2012	4.26	4.31	4.14	4.22	2357479	26883160.000
09/06/2012	4.21	4.34	4.20	4.34	2683778	31000592.000
09/07/2012	4.38	4.52	4.29	4.47	5683643	67894080.000
09/10/2012	4.50	4.64	4.40	4.64	5341922	64781776.000
09/11/2012	4.59	4.72	4.54	4.62	3812878	47727256.000
09/12/2012	4.62	4.66	4.45	4.51	4616506	56392708.000
09/13/2012	4.56	4.56	4.37	4.37	2382359	28664368.000
09/14/2012	4.37	4.44	4.27	4.34	2253422	26457944.000
09/17/2012	4.34	4.39	4.08	4.09	2474773	28031858.000
09/18/2012	4.05	4.17	4.00	4.13	1501280	16743314.000
09/19/2012	4.15	4.23	4.14	4.17	1799531	20377602.000
09/20/2012	4.27	4.49	4.22	4.25	4656144	54479212.000
09/21/2012	4.17	4.29	4.09	4.14	1726267	19501112.000
09/24/2012	4.18	4.27	4.09	4.19	2091159	23758512.000
09/25/2012	4.15	4.21	4.08	4.08	1889483	21092590.000
09/26/2012	4.08	4.22	3.99	4.00	1338798	14769495.000
09/27/2012	4.02	4.12	3.99	4.07	1369692	15065003.000
09/28/2012	4.06	4.18	4.04	4.15	1048594	11659808.000
10/08/2012	4.14	4.27	4.10	4.25	1152350	13074797.000
10/09/2012	4.25	4.47	4.24	4.42	2227864	26478214.000
10/10/2012	4.52	4.83	4.52	4.57	6614491	82816152.000
10/11/2012	4.52	4.63	4.45	4.51	3376186	41210144.000
10/12/2012	4.52	4.66	4.51	4.55	2907557	36028024.000
10/15/2012	4.50	4.57	4.37	4.54	2793665	33555152.000
10/16/2012	4.54	4.71	4.50	4.59	3523850	43949376.000
10/17/2012	4.60	4.81	4.60	4.73	3835331	48838440.000
10/18/2012	4.70	4.75	4.67	4.69	3770284	47817048.000
10/19/2012	4.64	4.71	4.57	4.58	2861146	35527784.000
10/22/2012	4.50	4.72	4.50	4.70	2789759	34911428.000
10/23/2012	4.69	4.74	4.54	4.60	2036579	25441180.000
10/24/2012	4.53	4.59	4.47	4.53	2013531	24528016.000
10/25/2012	4.53	4.54	4.38	4.41	1277998	15357243.000
10/26/2012	4.42	4.44	4.29	4.33	1039371	12265169.000
10/29/2012	4.30	4.37	4.25	4.33	1274541	14892943.000
10/30/2012	4.37	4.37	4.29	4.32	1072062	12525405.000
10/31/2012	4.32	4.39	4.21	4.38	1292402	14941025.000
11/01/2012	4.39	4.55	4.35	4.54	2130376	25873476.000
11/02/2012	4.60	4.63	4.50	4.53	1842762	22709062.000
11/05/2012	4.52	4.65	4.47	4.58	2015615	24949870.000
11/06/2012	4.55	4.59	4.40	4.44	1819844	21941544.000
11/07/2012	4.40	4.47	4.39	4.43	1146565	13718628.000
11/08/2012	4.37	4.39	4.27	4.28	983919	11507843.000
11/09/2012	4.27	4.35	4.25	4.27	663280	7689654.500
11/12/2012	4.31	4.36	4.28	4.36	669915	7810531.000
11/13/2012	4.36	4.39	4.03	4.04	1403798	15824427.000
11/14/2012	3.99	4.09	3.86	4.00	869953	9359391.000
11/15/2012	3.95	3.98	3.84	3.84	1103979	11694139.000
11/16/2012	3.84	3.84	3.63	3.74	2330560	23503774.000
11/19/2012	3.69	3.79	3.66	3.79	428757	4329825.500
11/20/2012	3.82	3.82	3.73	3.77	513102	5265047.500
11/21/2012	3.77	3.85	3.73	3.85	943118	9728658.000
11/22/2012	3.92	3.99	3.78	3.88	1107827	11680127.000
11/23/2012	3.87	3.90	3.79	3.82	856674	8891766.000
11/26/2012	3.77	3.81	3.68	3.68	691952	7002221.000
11/27/2012	3.68	3.68	3.35	3.41	1711750	16288306.000
11/28/2012	3.41	3.43	3.29	3.37	1097971	10033878.000
11/29/2012	3.37	3.40	3.24	3.29	881700	7955348.000
11/30/2012	3.27	3.34	3.25	3.33	1246313	11217158.000
12/03/2012	3.35	3.37	3.20	3.22	535318	4821614.500
12/04/2012	3.22	3.34	3.18	3.31	662421	5863746.500
12/05/2012	3.31	3.65	3.30	3.64	3425869	33319638.000
12/06/2012	3.61	3.87	3.58	3.79	2762028	28163458.000
12/07/2012	3.79	3.83	3.72	3.77	1061949	10869117.000
12/10/2012	3.77	3.85	3.75	3.82	1024227	10573681.000
12/11/2012	3.79	3.79	3.71	3.72	1279312	12969967.000
12/12/2012	3.73	3.74	3.59	3.66	1867313	18493588.000
12/13/2012	3.63	3.65	3.56	3.57	1246790	12225870.000
12/14/2012	3.56	3.78	3.56	3.75	1606307	16171245.000
12/17/2012	3.75	3.80	3.69	3.75	1632474	16573936.000
12/18/2012	3.72	3.81	3.71	3.75	1525481	15563774.000
12/19/2012	3.78	4.01	3.75	3.79	1460065	15138265.000
12/20/2012	3.75	3.81	3.71	3.79	1369742	13971270.000
12/21/2012	3.79	3.95	3.79	3.91	2899183	30437132.000
12/24/2012	3.89	3.99	3.85	3.95	2027382	21645404.000
12/25/2012	4.05	4.13	3.99	4.03	2904091	31828052.000
12/26/2012	3.98	4.15	3.98	4.11	3119107	34403804.000
12/27/2012	4.19	4.24	4.01	4.11	3994239	44590056.000
12/28/2012	4.10	4.10	3.97	4.08	2952827	32277782.000
12/31/2012	4.07	4.10	3.99	4.08	2193439	24088484.000
01/04/2013	4.11	4.11	3.93	3.99	1685099	18280380.000
01/07/2013	3.97	4.11	3.96	4.10	1940245	21286906.000
01/08/2013	4.11	4.25	4.09	4.19	3251618	36747016.000
01/09/2013	4.21	4.21	4.10	4.15	1987174	22373666.000
01/10/2013	4.13	4.29	4.12	4.27	2494666	28614046.000
01/11/2013	4.28	4.28	4.10	4.11	1829896	20673712.000
01/14/2013	4.11	4.36	4.10	4.32	4351476	50004828.000
01/15/2013	4.29	4.56	4.28	4.50	3892877	46180368.000
01/16/2013	4.45	4.56	4.34	4.50	2158407	25852510.000
01/17/2013	4.49	4.71	4.44	4.70	4549380	56725612.000
01/18/2013	4.71	4.72	4.62	4.70	2238670	28151902.000
01/21/2013	4.70	4.79	4.62	4.71	2330994	29674784.000
01/22/2013	4.69	4.72	4.52	4.54	2437611	30228094.000
01/23/2013	4.47	4.65	4.47	4.63	2496822	30631484.000
01/24/2013	4.89	5.02	4.73	4.88	6634663	86691176.000
01/25/2013	4.87	5.20	4.78	5.18	4352913	58266644.000
01/28/2013	5.16	5.55	5.14	5.41	5387507	77041568.000
01/29/2013	5.37	5.49	5.28	5.41	2979396	42958480.000
01/30/2013	5.37	5.44	5.24	5.33	1826932	26060684.000
01/31/2013	5.30	5.32	5.14	5.21	1977784	27629642.000
02/01/2013	5.18	5.40	5.17	5.33	1837174	26240296.000
02/04/2013	5.35	5.37	5.14	5.19	1823892	25730058.000
02/05/2013	5.11	5.36	5.10	5.30	1198110	16849254.000
02/06/2013	5.29	5.35	5.20	5.24	1076148	15150605.000
02/07/2013	5.18	5.35	5.18	5.32	1122697	15968056.000
02/08/2013	5.29	5.57	5.27	5.56	1414609	20577004.000
02/18/2013	5.55	5.64	5.43	5.61	1376510	20423658.000
02/19/2013	5.54	5.60	5.40	5.43	1270627	18663428.000
02/20/2013	5.39	5.59	5.39	5.57	1388869	20583592.000
02/21/2013	5.54	5.73	5.41	5.45	2281466	33951748.000
02/22/2013	5.45	5.52	5.25	5.31	1689116	24480408.000
02/25/2013	5.32	5.45	5.26	5.42	1210746	17463006.000
02/26/2013	5.45	5.73	5.33	5.39	2787380	41604464.000
02/27/2013	5.40	5.52	5.22	5.27	1844306	26270220.000
02/28/2013	5.29	5.48	5.27	5.48	1444292	20922624.000
03/01/2013	5.54	5.81	5.54	5.81	3604516	54999912.000
03/04/2013	5.76	5.95	5.67	5.72	3894204	60714496.000
03/05/2013	5.74	6.08	5.73	6.07	4136487	65771924.000
03/06/2013	6.07	6.15	5.91	6.02	4394095	70854920.000
03/07/2013	6.00	6.04	5.60	5.70	4733123	73035488.000
03/08/2013	5.75	5.79	5.50	5.55	2443424	36786708.000
03/11/2013	5.55	5.76	5.53	5.60	1485343	22420928.000
03/12/2013	5.58	5.69	5.25	5.30	3022298	44155512.000
03/13/2013	5.30	5.34	5.17	5.22	2044052	28638090.000
03/14/2013	5.21	5.29	5.15	5.20	1314863	18404858.000
03/15/2013	5.22	5.44	5.17	5.26	1719695	24506630.000
03/18/2013	5.26	5.34	5.20	5.22	1419728	20082554.000
03/19/2013	5.24	5.32	4.97	5.12	1833782	25208798.000
03/20/2013	5.14	5.39	5.10	5.37	2197214	31235842.000
03/21/2013	5.40	5.47	5.35	5.42	1691285	24535334.000
03/22/2013	5.41	5.59	5.38	5.52	1542797	22768306.000
03/25/2013	5.52	5.54	5.39	5.43	1497259	21855018.000
03/26/2013	5.39	5.42	5.21	5.34	1500799	21331436.000
03/27/2013	5.34	5.54	5.34	5.47	1439753	21074750.000
03/28/2013	5.43	5.47	5.23	5.34	1358228	19540774.000
03/29/2013	5.34	5.40	5.12	5.15	2590868	36284380.000
04/01/2013	5.12	5.20	4.90	4.91	3924304	53057148.000
04/02/2013	4.83	4.99	4.69	4.69	5855342	76080384.000
04/03/2013	4.75	4.77	4.64	4.72	2041180	25851532.000
04/08/2013	4.67	4.87	4.60	4.81	2330957	29915410.000
04/09/2013	4.86	4.93	4.82	4.88	2181831	28612058.000
04/10/2013	4.88	4.89	4.73	4.85	1280563	16576316.000
04/11/2013	4.85	4.88	4.64	4.71	1492353	19190614.000
04/12/2013	4.72	4.85	4.69	4.71	1898868	24315090.000
04/15/2013	4.77	4.77	4.65	4.74	1063657	13476853.000
04/16/2013	4.67	4.77	4.60	4.77	1780224	22435772.000
04/17/2013	4.75	4.90	4.73	4.90	2332583	30262074.000
04/18/2013	4.85	4.94	4.84	4.90	1724357	22701272.000
04/19/2013	4.90	5.08	4.86	5.03	2925170	39232072.000
04/22/2013	5.06	5.12	5.00	5.11	2949358	40084312.000
04/23/2013	5.14	5.14	4.86	4.86	3073030	40902248.000
04/24/2013	4.91	5.10	4.87	5.03	3642369	48829124.000
04/25/2013	5.03	5.18	4.99	5.08	3086859	42152420.000
04/26/2013	5.10	5.13	4.90	4.90	1907493	25590210.000
05/02/2013	4.89	5.00	4.82	5.00	1304596	17334252.000
05/03/2013	4.99	5.16	4.99	5.12	2601288	35737608.000
05/06/2013	5.17	5.34	5.17	5.25	3057569	43268140.000
05/07/2013	5.31	5.40	5.29	5.32	2970633	42583700.000
05/08/2013	5.36	5.42	5.29	5.36	2884190	41366820.000
05/09/2013	5.34	5.41	5.27	5.40	2898511	41528532.000
05/10/2013	5.37	5.42	5.33	5.36	1867687	26906626.000
05/13/2013	5.38	5.58	5.38	5.52	3789535	55957704.000
05/14/2013	5.50	5.54	5.30	5.32	2275386	32963620.000
05/15/2013	5.33	5.46	5.32	5.45	1958734	28259312.000
05/16/2013	5.46	5.62	5.31	5.62	5659382	83121432.000
05/17/2013	5.62	5.75	5.56	5.70	4113827	62657868.000
05/20/2013	5.71	5.78	5.60	5.71	3496366	53324488.000
05/21/2013	5.67	5.82	5.67	5.79	4153461	48962848.000
05/22/2013	5.79	5.80	5.58	5.62	4946184	57491508.000
05/23/2013	5.56	5.80	5.55	5.65	2525142	29363300.000
05/24/2013	5.64	5.80	5.61	5.79	3561160	41506980.000
05/27/2013	5.82	6.08	5.79	6.05	4314277	52450248.000
05/28/2013	6.03	6.03	5.81	5.82	5139611	61677932.000
05/29/2013	5.77	5.97	5.77	5.86	2765248	33179850.000
05/30/2013	5.87	6.15	5.81	6.03	4830431	59350408.000
05/31/2013	6.00	6.11	5.96	5.96	3814022	47086312.000
06/03/2013	5.87	6.00	5.65	5.68	5057074	60058236.000
06/04/2013	5.65	5.66	5.44	5.45	3665146	41344548.000
06/05/2013	5.47	5.56	5.46	5.54	2065826	23267586.000
06/06/2013	5.52	5.67	5.48	5.50	2260017	25811090.000
06/07/2013	5.47	5.55	5.32	5.50	2224406	24660042.000
06/13/2013	5.42	5.43	5.21	5.40	1426060	15585013.000
06/14/2013	5.40	5.59	5.40	5.56	1777690	20105948.000
06/17/2013	5.53	5.75	5.50	5.62	2632400	30187378.000
06/18/2013	5.62	5.67	5.49	5.56	1694575	19303940.000
06/19/2013	5.52	5.52	5.38	5.44	1584365	17620152.000
06/20/2013	5.42	5.46	5.23	5.45	1932104	21220810.000
06/21/2013	5.31	5.37	5.22	5.34	1261683	13739120.000
06/24/2013	5.22	5.33	4.88	4.93	2744855	28218374.000
06/25/2013	4.89	4.99	4.42	4.75	4401561	42114756.000
