600746 江苏索普 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.81	5.84	5.43	5.47	1337723	7592757.000
01/05/2012	5.47	5.71	5.31	5.31	4000523	22401832.000
01/06/2012	5.28	5.57	4.88	5.11	4117577	21143968.000
01/10/2012	5.40	5.62	5.34	5.62	7271680	40399188.000
01/11/2012	5.62	5.77	5.48	5.74	7269799	41345148.000
01/12/2012	5.67	5.78	5.60	5.67	3779352	21588720.000
01/13/2012	5.68	5.70	5.37	5.38	2779817	15328050.000
01/16/2012	5.35	5.44	5.16	5.17	1762260	9439549.000
01/17/2012	5.24	5.61	5.14	5.53	2184846	11832805.000
01/18/2012	5.54	5.60	5.32	5.36	2223619	12293243.000
01/19/2012	5.32	5.52	5.32	5.45	1242591	6788907.000
01/20/2012	5.51	5.52	5.41	5.46	1541949	8461220.000
01/30/2012	5.43	5.56	5.43	5.45	1170902	6465966.000
01/31/2012	5.53	5.53	5.37	5.48	1465718	7999389.000
02/01/2012	5.47	5.56	5.43	5.48	1360009	7519735.000
02/02/2012	5.45	5.59	5.45	5.57	1812859	10093693.000
02/03/2012	5.58	5.75	5.58	5.68	2613061	14900114.000
02/06/2012	5.68	5.92	5.63	5.87	4670663	27231310.000
02/07/2012	5.84	5.84	5.66	5.66	2523759	14508351.000
02/08/2012	5.67	5.81	5.60	5.79	2420306	13963893.000
02/09/2012	5.82	5.92	5.77	5.85	3853035	22664628.000
02/10/2012	5.84	5.98	5.81	5.93	4299586	25481700.000
02/13/2012	5.87	5.99	5.85	5.96	4111134	24520352.000
02/14/2012	5.93	5.99	5.86	5.91	3310773	19625824.000
02/15/2012	5.89	6.06	5.88	6.03	3584276	21559952.000
02/16/2012	6.05	6.16	5.97	6.08	3840501	23453448.000
02/17/2012	6.08	6.14	5.95	5.97	2749297	16614380.000
02/20/2012	6.07	6.22	5.98	6.14	8253894	50761160.000
02/21/2012	6.10	6.22	6.03	6.22	6016446	37257000.000
02/22/2012	6.22	6.32	6.19	6.29	5740284	36174364.000
02/23/2012	6.29	6.32	6.17	6.20	4848709	30392860.000
02/24/2012	6.20	6.30	6.19	6.29	4847357	30462150.000
02/27/2012	6.29	6.40	6.27	6.35	6966510	44469324.000
02/28/2012	6.33	6.66	6.31	6.60	11568812	75213456.000
02/29/2012	6.61	6.85	6.57	6.81	14629686	99081168.000
03/01/2012	6.77	7.12	6.65	7.08	25609776	176269008.000
03/02/2012	7.00	7.13	6.93	7.05	22816552	161059152.000
03/05/2012	7.04	7.17	6.82	6.85	14515719	101053760.000
03/06/2012	6.83	6.83	6.58	6.60	9030182	60416416.000
03/07/2012	6.47	6.59	6.42	6.54	6020785	39352416.000
03/08/2012	6.55	6.62	6.51	6.59	4855814	32016710.000
03/09/2012	6.60	6.62	6.49	6.61	5401141	35612360.000
03/12/2012	6.64	6.64	6.55	6.61	4196029	27791374.000
03/13/2012	6.60	6.79	6.59	6.74	6811749	45923024.000
03/14/2012	6.74	6.82	6.06	6.08	8712441	56711612.000
03/15/2012	6.15	6.22	5.97	6.09	5430257	33257020.000
03/16/2012	6.10	6.21	6.08	6.21	4406442	27272080.000
03/19/2012	6.23	6.30	6.09	6.27	4964019	30793428.000
03/20/2012	6.23	6.24	6.07	6.08	3281089	20230618.000
03/21/2012	6.11	6.34	6.06	6.27	6415909	40106844.000
03/22/2012	6.27	6.46	6.21	6.38	5789843	36969592.000
03/23/2012	6.34	6.38	6.06	6.14	3905967	24344360.000
03/26/2012	6.14	6.38	6.14	6.31	4334120	27340590.000
03/27/2012	6.32	6.70	6.25	6.58	11954717	77888784.000
03/28/2012	6.55	7.17	6.39	7.04	20267429	137172352.000
03/29/2012	6.95	7.14	6.71	7.03	17040578	119488688.000
03/30/2012	7.07	7.31	6.85	7.13	30835897	216765136.000
04/05/2012	7.09	7.56	6.92	7.34	29623470	213166384.000
04/06/2012	7.31	7.42	7.03	7.23	23644903	170591200.000
04/09/2012	7.22	7.22	6.91	7.03	15878394	111965056.000
04/10/2012	6.92	6.93	6.72	6.87	13697516	93803968.000
04/11/2012	6.80	7.24	6.68	7.18	15587005	109233888.000
04/12/2012	7.14	7.18	7.02	7.05	18120520	129263192.000
04/13/2012	6.94	7.12	6.83	6.87	11013140	76374360.000
04/16/2012	6.79	6.93	6.74	6.82	5980040	40950664.000
04/17/2012	6.75	6.83	6.44	6.46	7568197	50514672.000
04/18/2012	6.46	6.65	6.46	6.63	6205521	40981624.000
04/19/2012	6.63	6.73	6.59	6.72	5572370	37354376.000
04/20/2012	6.71	6.84	6.68	6.73	6196851	42092248.000
04/23/2012	6.73	6.74	6.51	6.56	4680942	31112084.000
04/24/2012	6.48	6.65	6.27	6.49	4327624	28078484.000
04/25/2012	6.54	6.54	6.24	6.41	7223967	46142676.000
04/26/2012	6.38	6.46	6.28	6.29	4335880	27693384.000
04/27/2012	6.30	6.44	6.30	6.37	3078259	19679200.000
05/02/2012	6.40	6.50	6.37	6.37	4104572	26455420.000
05/03/2012	6.36	6.37	6.10	6.15	5834098	36371864.000
05/04/2012	6.17	6.30	6.16	6.21	4122137	25819252.000
05/07/2012	6.18	6.27	6.14	6.24	3236417	20192338.000
05/08/2012	6.29	6.55	6.23	6.48	8303591	53548936.000
05/09/2012	6.44	6.59	6.37	6.38	6144606	39965172.000
05/11/2012	6.36	6.37	6.15	6.19	3973858	24927142.000
05/14/2012	6.26	6.26	6.12	6.14	2399443	14920802.000
05/15/2012	6.11	6.11	5.92	6.04	3036066	18257130.000
05/16/2012	6.05	6.09	5.97	6.00	1505690	9129916.000
05/17/2012	6.00	6.09	5.98	6.07	1956652	11883360.000
05/18/2012	6.04	6.14	5.99	6.09	2578056	15748532.000
05/21/2012	6.12	6.15	6.05	6.07	1847575	11305137.000
05/22/2012	6.07	6.14	6.04	6.11	1958157	11995811.000
05/23/2012	6.08	6.12	5.93	5.99	2526198	15297375.000
05/24/2012	5.99	6.00	5.77	5.80	3348048	19776598.000
05/25/2012	5.79	5.86	5.62	5.68	2281801	13110327.000
05/28/2012	5.63	5.77	5.56	5.76	1823741	10388695.000
05/29/2012	5.80	6.02	5.73	5.97	3410971	20108908.000
05/30/2012	5.95	6.23	5.92	6.12	6248432	38252772.000
05/31/2012	6.11	6.15	5.96	6.02	4452590	27079712.000
06/01/2012	5.99	6.04	5.91	5.94	2035440	12223041.000
06/04/2012	6.02	6.02	5.69	5.71	2634102	15553848.000
06/05/2012	5.69	5.87	5.69	5.78	1350463	7818961.000
06/06/2012	5.78	5.80	5.69	5.72	1350359	7781178.000
06/07/2012	5.79	5.81	5.63	5.63	1477707	8477189.000
06/08/2012	5.72	5.72	5.52	5.56	1272399	7172333.000
06/11/2012	5.57	5.67	5.51	5.67	985735	5550520.000
06/12/2012	5.66	5.89	5.62	5.83	3494419	20351664.000
06/13/2012	5.87	5.87	5.78	5.83	2514200	14719264.000
06/14/2012	5.86	5.89	5.74	5.75	2174583	12712914.000
06/15/2012	5.75	5.85	5.67	5.74	1915027	11103097.000
06/18/2012	5.74	5.82	5.74	5.79	1284985	7479407.000
06/19/2012	5.79	5.81	5.70	5.80	1440039	8348072.000
06/20/2012	5.84	5.92	5.78	5.79	1560515	9166498.000
06/21/2012	5.78	5.78	5.63	5.67	1284309	7323627.000
06/25/2012	5.64	5.69	5.37	5.46	1223525	6845467.000
06/26/2012	5.46	5.49	5.33	5.42	1073625	5835411.000
06/27/2012	5.43	5.52	5.42	5.44	634317	3473549.000
06/28/2012	5.49	5.49	5.29	5.33	985600	5389745.000
06/29/2012	5.35	5.49	5.24	5.49	1917282	10397043.000
07/02/2012	5.46	5.58	5.45	5.58	1775203	9904854.000
07/03/2012	5.57	5.75	5.57	5.65	3599810	20540784.000
07/04/2012	5.64	5.73	5.58	5.64	2857870	16223983.000
07/05/2012	5.62	5.97	5.47	5.71	7098453	40757428.000
07/06/2012	5.71	5.83	5.67	5.72	3764719	21782808.000
07/09/2012	5.70	5.79	5.53	5.57	3168914	18018646.000
07/10/2012	5.57	5.59	5.40	5.41	1523609	8368065.000
07/11/2012	5.43	5.51	5.24	5.32	2305660	12374691.000
07/12/2012	5.32	5.45	5.23	5.40	4091060	21932830.000
07/13/2012	5.33	5.36	5.25	5.28	1941279	10358845.000
07/16/2012	5.23	5.24	4.75	4.75	4361786	21268140.000
07/17/2012	4.66	4.94	4.65	4.86	2812889	13684977.000
07/18/2012	4.83	5.06	4.76	4.85	2978920	14501773.000
07/19/2012	4.85	5.07	4.83	4.99	3338652	16756428.000
07/20/2012	4.98	5.05	4.88	4.89	1595960	7911413.000
07/23/2012	4.85	4.91	4.79	4.81	1204331	5845130.000
07/24/2012	4.77	4.92	4.77	4.87	1427301	6972742.000
07/25/2012	4.94	4.96	4.83	4.84	745703	3643860.000
07/26/2012	4.84	4.89	4.72	4.75	890949	4313925.000
07/27/2012	4.75	4.81	4.55	4.57	2405666	11227459.000
07/30/2012	4.55	4.57	4.12	4.13	4187945	17845702.000
07/31/2012	4.14	4.20	4.07	4.10	1474362	6096461.000
08/01/2012	4.10	4.20	4.08	4.14	1214652	5064187.000
08/02/2012	4.15	4.17	4.04	4.06	1103990	4561952.000
08/03/2012	4.07	4.20	4.06	4.19	1556038	6504773.000
08/06/2012	4.18	4.32	4.14	4.30	1942809	8293486.000
08/07/2012	4.30	4.42	4.27	4.38	2318713	10170567.000
08/08/2012	4.40	4.67	4.38	4.56	5808430	26668208.000
08/09/2012	4.55	4.59	4.46	4.56	2320902	10574586.000
08/10/2012	4.59	4.59	4.49	4.54	1557037	7106183.000
08/13/2012	4.53	4.53	4.32	4.35	1285613	5728310.000
08/14/2012	4.34	4.44	4.30	4.43	1268827	5597809.000
08/15/2012	4.49	4.49	4.40	4.44	951757	4251213.000
08/16/2012	4.41	4.45	4.32	4.33	1173632	5166403.000
08/17/2012	4.35	4.36	4.28	4.35	938374	4076199.000
08/20/2012	4.30	4.34	4.19	4.32	821590	3521559.000
08/21/2012	4.29	4.44	4.28	4.43	1315088	5814095.000
08/22/2012	4.42	4.47	4.37	4.42	982298	4374128.000
08/23/2012	4.38	4.47	4.34	4.45	1382381	6165816.000
08/24/2012	4.45	4.59	4.40	4.40	2829477	12871478.000
08/27/2012	4.38	4.38	4.12	4.14	1731445	7345216.000
08/28/2012	4.14	4.22	4.12	4.20	776681	3258811.000
08/29/2012	4.17	4.21	4.11	4.15	802278	3363225.000
08/30/2012	4.16	4.19	4.05	4.11	970572	4020751.000
08/31/2012	4.07	4.16	4.07	4.14	474812	1972449.000
09/03/2012	4.14	4.32	4.10	4.26	1325451	5669142.000
09/04/2012	4.30	4.30	4.18	4.20	635728	2703724.000
09/05/2012	4.23	4.25	4.18	4.23	801260	3404106.000
09/06/2012	4.23	4.29	4.22	4.27	913222	3906670.000
09/07/2012	4.33	4.52	4.29	4.41	2597438	11580192.000
09/10/2012	4.50	4.50	4.42	4.46	1768422	7934797.000
09/11/2012	4.45	4.65	4.39	4.62	5035580	23164540.000
09/12/2012	4.57	4.69	4.55	4.60	3232797	14979183.000
09/13/2012	4.57	4.61	4.46	4.47	2483459	11297261.000
09/14/2012	4.51	4.62	4.45	4.60	2884472	13246969.000
09/17/2012	4.62	4.62	4.48	4.51	2233479	10250614.000
09/18/2012	4.48	4.53	4.41	4.51	1556628	7006686.000
09/19/2012	4.52	4.64	4.50	4.57	2538444	11696931.000
09/20/2012	4.52	4.52	4.37	4.37	1651516	7349142.000
09/21/2012	4.38	4.39	4.28	4.33	1120185	4885019.000
09/24/2012	4.33	4.36	4.22	4.31	1112011	4788066.000
09/25/2012	4.30	4.33	4.18	4.25	756936	3241096.000
09/26/2012	4.22	4.29	4.18	4.20	987245	4195944.000
09/27/2012	4.17	4.33	4.17	4.32	1722132	7425873.000
09/28/2012	4.30	4.50	4.28	4.48	3002767	13391361.000
10/08/2012	4.56	4.60	4.39	4.50	4141397	18679116.000
10/09/2012	4.43	4.60	4.43	4.59	3607561	16529568.000
10/10/2012	4.55	4.64	4.54	4.61	3024148	13964462.000
10/11/2012	4.58	4.92	4.55	4.63	8006813	38299696.000
10/12/2012	4.56	4.66	4.50	4.54	3374369	15549819.000
10/15/2012	4.53	4.57	4.27	4.38	4288910	18907248.000
10/16/2012	4.35	4.42	4.32	4.37	1982911	8723055.000
10/17/2012	4.36	4.51	4.34	4.45	2149435	9577845.000
10/18/2012	4.47	4.58	4.41	4.51	2781234	12645790.000
10/19/2012	4.51	4.66	4.50	4.53	2644768	12214050.000
10/22/2012	4.53	4.65	4.46	4.64	2859591	13233621.000
10/23/2012	4.60	4.66	4.57	4.58	2262849	10484529.000
10/24/2012	4.56	4.61	4.52	4.60	2015612	9269237.000
10/25/2012	4.62	4.92	4.58	4.75	9939181	47697748.000
10/26/2012	4.69	4.81	4.48	4.53	4671361	21763404.000
10/29/2012	4.52	4.82	4.42	4.72	5104627	23954516.000
10/30/2012	4.67	4.92	4.67	4.85	7980136	38859400.000
10/31/2012	4.74	4.88	4.64	4.87	4949957	23734468.000
11/01/2012	4.83	4.92	4.77	4.87	5534674	27056528.000
11/02/2012	4.85	4.90	4.78	4.90	3993907	19511660.000
11/05/2012	4.87	4.91	4.72	4.80	3634577	17497288.000
11/06/2012	4.79	4.80	4.61	4.63	4012154	18811336.000
11/07/2012	4.62	4.75	4.60	4.74	2674915	12647014.000
11/08/2012	4.69	4.71	4.47	4.57	3412274	15747788.000
11/09/2012	4.53	4.57	4.45	4.48	1932185	8748938.000
11/12/2012	4.52	4.56	4.46	4.56	1402459	6369900.000
11/13/2012	4.57	4.57	4.37	4.40	1513151	6792872.000
11/14/2012	4.39	4.47	4.38	4.46	882568	3939307.000
11/15/2012	4.43	4.49	4.39	4.45	1038220	4641803.000
11/16/2012	4.42	4.49	4.39	4.44	986960	4403332.000
11/19/2012	4.43	4.44	4.31	4.42	927738	4097183.000
11/20/2012	4.42	4.48	4.39	4.39	902037	4024009.000
11/21/2012	4.39	4.42	4.30	4.41	1006602	4419891.000
11/22/2012	4.40	4.40	4.31	4.36	871202	3802627.000
11/23/2012	4.36	4.36	4.30	4.34	965843	4217457.000
11/26/2012	4.33	4.37	4.23	4.23	794357	3417205.000
11/27/2012	4.31	4.31	4.02	4.05	1687533	7002145.000
11/28/2012	4.06	4.06	3.86	3.89	1112233	4384200.000
11/29/2012	3.95	3.95	3.78	3.80	535499	2096355.000
11/30/2012	3.79	3.87	3.77	3.86	1104099	4257382.000
12/03/2012	3.84	3.88	3.72	3.74	665900	2553976.000
12/04/2012	3.74	3.79	3.60	3.78	848838	3149932.000
12/05/2012	3.72	3.94	3.72	3.91	1597653	6255246.000
12/06/2012	3.91	3.95	3.86	3.91	1029991	4067040.000
12/07/2012	3.92	4.05	3.90	4.01	1854706	7436037.000
12/10/2012	3.99	4.08	3.99	4.07	1591320	6492340.000
12/11/2012	4.02	4.08	4.01	4.02	1403716	5726074.000
12/12/2012	4.02	4.06	3.94	4.00	1319500	5310054.000
12/13/2012	3.98	3.98	3.87	3.89	1301839	5138968.000
12/14/2012	3.87	4.07	3.87	4.06	3060631	12365901.000
12/17/2012	4.02	4.47	4.02	4.47	8309603	36283608.000
12/18/2012	4.37	4.54	4.34	4.44	8561255	38326856.000
12/19/2012	4.37	4.40	4.28	4.32	3935611	17165878.000
12/20/2012	4.31	4.35	4.21	4.27	3119384	13409394.000
12/21/2012	4.30	4.36	4.21	4.22	3053984	13184908.000
12/24/2012	4.22	4.31	4.19	4.27	2002707	8585693.000
12/25/2012	4.32	4.41	4.24	4.36	3416139	14950304.000
12/26/2012	4.39	4.40	4.31	4.39	2851335	12501054.000
12/27/2012	4.39	4.45	4.32	4.36	3274143	14439816.000
12/28/2012	4.33	4.40	4.32	4.37	2722494	11936734.000
12/31/2012	4.38	4.42	4.34	4.36	1724401	7605665.000
01/04/2013	4.36	4.40	4.29	4.32	2358195	10263790.000
01/07/2013	4.32	4.47	4.25	4.45	3537176	15687971.000
01/08/2013	4.45	4.49	4.39	4.47	3166984	14182492.000
01/09/2013	4.47	4.69	4.43	4.59	5924272	27210868.000
01/10/2013	4.58	4.61	4.48	4.59	3999166	18296908.000
01/11/2013	4.58	4.60	4.32	4.37	3475281	15540472.000
01/14/2013	4.30	4.51	4.30	4.45	2973367	13273854.000
01/15/2013	4.49	4.60	4.43	4.56	3678712	16754556.000
01/16/2013	4.60	4.62	4.48	4.59	4133416	18986428.000
01/17/2013	4.60	4.62	4.50	4.51	1959828	8977207.000
01/18/2013	4.52	4.60	4.48	4.59	2638465	12106353.000
01/21/2013	4.58	4.72	4.58	4.63	2500086	11675716.000
01/22/2013	4.65	4.65	4.47	4.48	2652456	12117983.000
01/23/2013	4.47	4.51	4.37	4.44	2065752	9225830.000
01/24/2013	4.43	4.50	4.17	4.25	3746033	16317481.000
01/25/2013	4.20	4.33	4.20	4.32	2583312	11139801.000
01/28/2013	4.35	4.63	4.32	4.62	6424119	29056024.000
01/29/2013	4.60	4.64	4.55	4.64	3223614	14957790.000
01/30/2013	4.62	4.81	4.54	4.74	12642699	59569080.000
01/31/2013	4.69	4.72	4.50	4.54	5698171	26341256.000
02/01/2013	4.55	4.56	4.45	4.53	3095871	14044410.000
02/04/2013	4.52	4.71	4.51	4.57	3714687	17273948.000
02/05/2013	4.54	4.57	4.43	4.53	2372037	10762450.000
02/06/2013	4.53	4.68	4.52	4.62	3696688	17222032.000
02/07/2013	4.61	4.65	4.57	4.61	1607372	7447224.000
02/08/2013	4.62	4.71	4.62	4.67	2273475	10668089.000
02/18/2013	4.72	4.93	4.67	4.80	5741764	27828688.000
02/19/2013	4.82	4.85	4.72	4.75	2768100	13329532.000
02/20/2013	4.79	4.85	4.71	4.85	3009844	14512470.000
02/21/2013	4.82	4.82	4.61	4.68	2708392	12838690.000
02/22/2013	4.68	4.70	4.54	4.59	2257171	10451917.000
02/25/2013	4.60	4.63	4.57	4.61	1230711	5706785.000
02/26/2013	4.57	4.66	4.52	4.53	2249270	10380546.000
02/27/2013	4.53	4.62	4.53	4.60	1491000	6873603.000
02/28/2013	4.60	4.71	4.57	4.70	1958571	9203542.000
03/01/2013	4.69	4.79	4.64	4.76	2640776	12568996.000
03/04/2013	4.73	4.82	4.62	4.72	2691649	12760633.000
03/05/2013	4.69	5.08	4.69	4.98	8207046	40737200.000
03/06/2013	4.94	5.10	4.90	4.99	5790880	29216500.000
03/07/2013	4.99	4.99	4.79	4.88	4028439	19777890.000
03/08/2013	4.87	5.02	4.80	5.01	2773088	13713878.000
03/11/2013	5.01	5.50	4.97	5.34	10095547	53357332.000
03/12/2013	5.27	5.38	5.12	5.28	6259730	33000262.000
03/13/2013	5.26	5.81	5.22	5.81	19152268	108794320.000
03/14/2013	5.70	5.86	5.62	5.74	9639025	55421604.000
03/15/2013	5.76	6.00	5.59	5.97	10151363	58882256.000
03/18/2013	5.67	6.01	5.42	5.52	11622861	67065312.000
03/19/2013	5.47	5.55	5.30	5.43	7103609	38615804.000
03/20/2013	5.38	5.57	5.36	5.53	5181565	28452636.000
03/21/2013	5.55	5.55	5.37	5.52	6169959	33760100.000
03/22/2013	5.52	5.74	5.39	5.64	6975235	38967108.000
03/25/2013	5.58	5.79	5.45	5.63	6238306	35418848.000
03/26/2013	5.55	5.71	5.39	5.68	5170369	28907816.000
03/27/2013	5.68	5.89	5.57	5.64	5370498	30994196.000
03/28/2013	5.53	5.54	5.17	5.23	5759575	30585372.000
03/29/2013	5.18	5.27	5.07	5.10	3195009	16531844.000
04/01/2013	5.11	5.25	5.08	5.13	1918152	9955323.000
04/02/2013	5.15	5.35	5.02	5.27	3281416	17200540.000
04/03/2013	5.44	5.56	5.29	5.34	4857947	26515650.000
04/08/2013	5.29	5.29	4.82	5.11	4482783	22689264.000
04/09/2013	5.11	5.21	5.02	5.14	2898558	14865691.000
04/10/2013	5.06	5.11	4.97	5.08	1940226	9848366.000
04/11/2013	5.07	5.19	5.03	5.11	1962260	10107744.000
04/12/2013	5.11	5.16	5.01	5.03	1218309	6221200.000
04/15/2013	5.03	5.03	4.77	4.81	2423962	11832507.000
04/16/2013	4.72	4.87	4.69	4.86	1043792	5033701.000
04/17/2013	4.86	4.90	4.75	4.82	1091820	5282760.000
04/18/2013	4.82	4.85	4.77	4.80	835072	4048116.000
04/19/2013	4.79	4.92	4.79	4.89	1305450	6403674.000
04/22/2013	4.86	5.17	4.85	5.15	3673322	18797398.000
04/23/2013	5.15	5.20	5.02	5.14	2782352	14263991.000
04/24/2013	5.15	5.26	5.07	5.17	2998081	15657458.000
04/25/2013	5.16	5.16	4.99	5.03	2817843	14303076.000
04/26/2013	5.03	5.16	5.00	5.03	1987179	10146490.000
05/02/2013	5.03	5.25	4.98	5.24	2334758	12126132.000
05/03/2013	5.21	5.32	5.21	5.25	2141997	11353453.000
05/06/2013	5.25	5.32	5.22	5.31	1923960	10182420.000
05/07/2013	5.28	5.50	5.26	5.47	2578992	13908190.000
05/08/2013	5.45	5.66	5.42	5.57	4548089	25381572.000
05/09/2013	5.53	5.61	5.25	5.29	5480667	29649640.000
05/10/2013	5.27	5.40	5.21	5.35	2352172	12544363.000
05/13/2013	5.34	5.34	5.14	5.23	4361079	22830350.000
05/14/2013	5.19	5.26	5.13	5.19	2018702	10533792.000
05/15/2013	5.17	5.26	5.16	5.21	2034799	10653406.000
05/16/2013	5.18	5.32	5.17	5.30	2269619	12043991.000
05/17/2013	5.27	5.37	5.20	5.35	3636189	19304112.000
05/20/2013	5.29	5.45	5.28	5.44	5095172	27581728.000
05/21/2013	5.43	5.47	5.39	5.44	2994192	16331126.000
05/22/2013	5.41	5.51	5.31	5.33	3276058	17826796.000
05/23/2013	5.35	5.35	5.14	5.15	3517465	18510108.000
05/24/2013	5.17	5.23	5.14	5.22	2340697	12194553.000
05/27/2013	5.21	5.31	5.15	5.28	2101838	11098239.000
05/28/2013	5.28	5.58	5.23	5.55	6649916	36693752.000
05/29/2013	5.56	5.57	5.43	5.50	3419281	18889094.000
05/30/2013	5.48	5.75	5.45	5.58	5955291	33743292.000
05/31/2013	5.60	5.69	5.47	5.48	3268988	18263478.000
06/03/2013	5.47	5.53	5.42	5.45	2273370	12499398.000
06/04/2013	5.45	6.00	5.45	6.00	12796018	76469504.000
06/05/2013	6.04	6.45	5.89	6.26	22766886	142017696.000
06/06/2013	6.18	6.20	5.95	6.18	11363866	69361760.000
06/07/2013	6.07	6.27	5.72	5.88	11677898	69091408.000
06/13/2013	5.79	6.47	5.77	6.47	21198208	134030224.000
06/14/2013	6.63	6.68	6.30	6.51	20930834	137220672.000
06/17/2013	6.37	7.03	6.27	6.77	18377236	123241352.000
06/18/2013	6.74	7.00	6.52	6.68	15076574	102282216.000
06/19/2013	6.65	6.66	6.38	6.62	8910386	58168324.000
06/20/2013	6.57	6.91	6.48	6.50	8839603	59383072.000
06/21/2013	6.34	6.35	6.01	6.12	7947018	49211720.000
06/24/2013	6.02	6.29	5.77	5.90	8724133	53267104.000
06/25/2013	5.75	5.98	5.31	5.59	9773222	54600828.000
06/26/2013	5.56	5.90	5.56	5.89	7623042	44162724.000
06/27/2013	5.96	5.99	5.57	5.57	6913391	40307400.000
06/28/2013	5.42	5.47	5.08	5.17	7931443	41927812.000
07/01/2013	5.18	5.30	5.10	5.29	3896521	20363784.000
07/02/2013	5.27	5.45	5.18	5.41	4651419	25011808.000
07/03/2013	5.38	5.67	5.33	5.56	5834225	32282310.000
07/04/2013	5.47	5.65	5.42	5.53	4734367	26367356.000
07/05/2013	5.51	5.58	5.42	5.43	3382324	18634718.000
07/08/2013	5.37	5.37	4.99	5.00	4351027	22448810.000
07/09/2013	4.97	5.10	4.92	5.05	2451109	12334604.000
07/10/2013	5.02	5.19	4.97	5.16	2804136	14265821.000
07/11/2013	5.16	5.34	5.10	5.28	3558026	18753044.000
07/12/2013	5.28	5.31	5.10	5.13	2797240	14629772.000
07/15/2013	5.15	5.50	5.14	5.40	5874886	31755144.000
07/16/2013	5.40	5.86	5.32	5.85	8336054	47459772.000
07/17/2013	5.82	5.94	5.67	5.77	5943257	34592680.000
07/18/2013	5.75	5.77	5.58	5.70	3024117	17237962.000
07/19/2013	5.75	5.78	5.37	5.41	4563524	25356792.000
07/22/2013	5.34	5.48	5.20	5.48	2345938	12722762.000
07/23/2013	5.46	5.56	5.42	5.52	3557581	19705968.000
07/24/2013	5.52	5.57	5.37	5.56	2728752	14991405.000
07/25/2013	5.56	5.56	5.41	5.45	2511291	13827154.000
07/26/2013	5.37	5.45	5.23	5.31	2867040	15294809.000
07/29/2013	5.32	5.40	5.22	5.33	1601755	8490396.000
07/30/2013	5.32	5.42	5.31	5.38	1562821	8436148.000
07/31/2013	5.30	5.47	5.22	5.32	1354237	7302442.000
08/01/2013	5.25	5.42	5.25	5.41	2132103	11440523.000
08/02/2013	5.36	5.77	5.33	5.66	6042194	33971892.000
08/05/2013	5.61	5.68	5.52	5.65	3167476	17858512.000
08/06/2013	5.61	5.94	5.59	5.79	4545106	26217212.000
08/07/2013	5.74	5.83	5.62	5.63	3109980	17906220.000
08/08/2013	5.65	5.69	5.53	5.58	2838988	15999374.000
08/09/2013	5.67	5.67	5.37	5.60	6114995	33810936.000
08/12/2013	5.56	5.76	5.55	5.70	4943795	28204238.000
08/13/2013	5.76	6.27	5.73	6.03	12464743	75253136.000
08/14/2013	5.99	6.23	5.88	5.97	7631271	46381376.000
08/15/2013	5.87	6.22	5.87	6.07	5743491	34938920.000
08/16/2013	6.07	6.11	5.69	5.75	4892210	29150772.000
08/19/2013	5.75	5.97	5.75	5.92	2591277	15305462.000
08/20/2013	5.92	5.96	5.76	5.85	4053789	23756464.000
08/21/2013	5.82	6.05	5.77	6.03	4209775	25173598.000
08/22/2013	5.97	6.07	5.93	5.96	2737348	16420961.000
08/23/2013	5.93	6.02	5.67	5.85	3962842	23271420.000
